Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8
[X] 38000,[X] 38001,[X] 38002,[X] 38003,[X] 38004,[X] 38005,[X] 38006,38007
[X] 38008,[X] 38009,[X] 38010,[X] 38011,38012,[X] 38013,[X] 38014,38015
[X] 38016,[X] 38017,[X] 38018,38019,[X] 38020,[X] 38021,[X] 38022,38023
[X] 38024,[X] 38025,[X] 38026,[X] 38027,38028,[X] 38029,[X] 38030,38031
[X] 38032,[X] 38033,[X] 38034,[X] 38035,38036,[X] 38037,[X] 38038,38039
[X] 38040,[X] 38041,[X] 38042,[X] 38043,[X] 38044,[X] 38045,38046,38047
[X] 38048,[X] 38049,[X] 38050,[X] 38051,[X] 38052,[X] 38053,38054,38055
[X] 38056,[X] 38057,[X] 38058,[X] 38059,[X] 38060,38061,38062,38063
38064,[X] 38065,[X] 38066,38067,38068,38069,38070,38071
38072,38073,38074,[X] 38075,[X] 38076,38077,38078,3807938073
-,-,[,3,8,0,7,3,],-,-

